EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,advs/mean_Mean,advs/mean_Std,advs/mean_Max,advs/mean_Min,advs/std_Mean,advs/std_Std,advs/std_Max,advs/std_Min,advs/max_Mean,advs/max_Std,advs/max_Max,advs/max_Min,advs/min_Mean,advs/min_Std,advs/min_Max,advs/min_Min,Training/vf_loss_Mean,Training/vf_loss_Std,Training/vf_loss_Max,Training/vf_loss_Min,grad_norm/vf_Mean,grad_norm/vf_Std,grad_norm/vf_Max,grad_norm/vf_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,logprob/mean_Mean,logprob/mean_Std,logprob/mean_Max,logprob/mean_Min,logprob/std_Mean,logprob/std_Std,logprob/std_Max,logprob/std_Min,logprob/max_Mean,logprob/max_Std,logprob/max_Max,logprob/max_Min,logprob/min_Mean,logprob/min_Std,logprob/min_Max,logprob/min_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,ratio/max_Mean,ratio/max_Std,ratio/max_Max,ratio/max_Min,ratio/min_Mean,ratio/min_Std,ratio/min_Max,ratio/min_Min,grad_norm/pf_Mean,grad_norm/pf_Std,grad_norm/pf_Max,grad_norm/pf_Min
0,65.078608751297,16384,-55.43696,-2245.65904,nan,44.76132,2.51861,17.79144,1000.00000,-2.23918,0.02743,-2.17368,-2.30397,0.82134,0.02269,0.87412,0.76731,-0.13785,0.10560,-0.01722,-0.52333,-5.67847,0.22906,-5.29704,-5.98070,4.50147,0.89247,5.88710,2.63501,26.10643,6.72876,35.97277,15.81544,0.01745,0.00302,0.02361,0.00965,3.95852,0.06009,4.06346,3.84274,1.73148,0.05231,1.83439,1.59542,6.80454,0.07389,6.92161,6.60777,-4.97010,1.35959,-2.80159,-8.22614,-2.08009,0.00029,-2.07944,-2.08055,0.00095,0.00054,0.00195,0.00000,-2.07849,0.00057,-2.07733,-2.07944,-2.08103,0.00088,-2.07944,-2.08255,1.39583,0.10929,1.79740,1.01024,0.70209,0.06189,0.99100,0.58830,2.08723,0.62705,3.41459,0.88238
10,483.60829997062683,180224,-54.58123,-1675.10308,nan,440.93411,24.65937,17.96790,1000.00000,-0.84960,0.62573,0.00528,-2.07833,0.58905,0.08135,0.77540,0.44586,0.67293,0.52985,1.69844,-0.43338,-3.33047,0.97715,-1.45038,-5.60366,0.54100,0.66689,4.46048,0.18229,16.41547,18.75880,93.84698,0.40390,0.01308,0.00685,0.03670,-0.00704,3.99751,0.05922,4.17124,3.82182,1.74034,0.05441,1.88086,1.53057,6.84057,0.05878,6.96705,6.63818,-4.90894,1.51778,-2.00506,-10.51256,-2.08666,0.00364,-2.08057,-2.09355,0.01251,0.00626,0.02272,0.00198,-2.07589,0.00093,-2.07449,-2.07732,-2.10298,0.01186,-2.08262,-2.12270,1.52887,0.19886,2.42988,1.00556,0.63517,0.10498,0.99572,0.32323,2.24305,0.64275,4.50397,0.83046
20,486.2221734523773,344064,-46.85054,-331.23011,nan,443.88968,24.63191,17.69212,1000.00000,0.43961,0.19835,0.84090,0.09953,0.49766,0.05015,0.61256,0.39936,2.27852,0.66352,3.76605,1.24312,-1.39576,0.35431,-0.52788,-2.37967,0.25514,0.09543,0.97076,0.14147,10.55930,11.25134,65.89726,0.34926,0.00773,0.00910,0.03650,-0.01303,4.05060,0.05458,4.19808,3.88987,1.74881,0.05720,1.98219,1.58636,6.90445,0.06463,7.03985,6.70320,-4.96848,1.54640,-2.22104,-10.75413,-2.09757,0.00223,-2.09357,-2.10095,0.02957,0.00342,0.03471,0.02276,-2.07291,0.00072,-2.07212,-2.07544,-2.13564,0.00661,-2.12278,-2.14561,1.92091,0.37792,3.77668,1.00833,0.50819,0.12151,0.99214,0.14027,3.33731,0.89476,6.21868,1.42883
30,486.37458753585815,507904,5.60306,1116.33881,nan,444.01241,25.28791,17.06688,1000.00000,0.87362,0.16101,1.19484,0.44040,0.96376,0.21950,1.32697,0.59952,4.22641,0.67837,6.70660,2.98786,-2.64410,1.26924,-0.54137,-5.33829,0.79841,0.37675,2.72859,0.30624,14.19279,13.19493,77.34514,0.64223,0.01144,0.01072,0.04037,-0.01719,4.08272,0.05465,4.28604,3.91028,1.73624,0.05380,1.87907,1.58258,6.93181,0.06287,7.07797,6.76299,-4.67131,1.38845,-1.93742,-9.42433,-2.10257,0.00090,-2.10096,-2.10421,0.03669,0.00077,0.03783,0.03472,-2.07332,0.00077,-2.07218,-2.07457,-2.14981,0.00171,-2.14564,-2.15255,2.17584,0.60872,7.74002,1.02457,0.44079,0.12223,0.96988,0.14488,4.12600,0.97655,8.64905,2.05025
40,478.5156788825989,671744,77.08717,2247.86072,nan,436.16682,24.91448,17.38717,1000.00000,0.67110,0.22597,1.12337,0.20034,1.60272,0.26956,2.12204,1.12193,5.96171,0.86016,8.46601,3.79975,-6.59683,2.63996,-2.16446,-12.71583,1.72683,0.59130,4.33190,0.79342,28.99583,18.92612,124.02148,2.91158,0.01383,0.01116,0.05097,-0.00786,4.08870,0.05533,4.25080,3.94507,1.74868,0.05152,1.89772,1.59695,6.94966,0.06445,7.08530,6.75764,-4.84226,1.38725,-1.91495,-9.48657,-2.10525,0.00069,-2.10422,-2.10657,0.03875,0.00067,0.03981,0.03784,-2.07536,0.00052,-2.07447,-2.07672,-2.15527,0.00149,-2.15256,-2.15760,2.23460,0.62463,8.16902,1.02622,0.42308,0.12848,0.97598,0.15908,4.35226,0.99007,8.58777,2.44028
50,476.7152659893036,835584,140.89713,2908.51133,nan,435.02273,24.72171,16.97074,1000.00000,0.37574,0.37082,1.22590,-0.22603,2.18866,0.23741,2.80491,1.70299,8.35022,1.37967,15.06956,5.57405,-9.94499,2.90400,-4.24651,-16.36629,3.22996,0.88048,7.12428,1.89632,46.79006,28.37702,211.54814,10.73187,0.01549,0.01058,0.04633,-0.01051,4.10852,0.05692,4.28651,3.94577,1.74727,0.05568,1.93960,1.59259,6.95077,0.06406,7.09934,6.71047,-5.11695,1.70220,-2.11310,-10.45411,-2.10617,0.00014,-2.10583,-2.10646,0.03962,0.00013,0.03984,0.03936,-2.07422,0.00092,-2.07300,-2.07557,-2.15675,0.00033,-2.15621,-2.15745,2.37389,0.65721,6.11103,1.04015,0.38905,0.13542,0.96286,0.12066,4.90626,1.13634,8.89399,2.65664
60,502.71930384635925,999424,192.58063,4210.41626,nan,455.55265,29.82533,17.34122,1000.00000,0.18186,0.22924,0.73723,-0.54983,2.71879,0.28220,3.83797,2.27674,13.80231,3.86268,24.03361,6.95843,-16.12659,4.83430,-6.74454,-27.95731,4.96621,1.36728,11.50124,2.69299,89.99487,48.65637,262.59735,22.19896,0.01665,0.01111,0.04837,-0.01067,4.10267,0.05376,4.26319,3.91024,1.74500,0.05505,1.91053,1.56392,6.95730,0.06502,7.10929,6.75940,-4.76397,1.33953,-1.84652,-9.15662,-2.10587,0.00059,-2.10420,-2.10647,0.03980,0.00020,0.04015,0.03946,-2.07354,0.00096,-2.07096,-2.07551,-2.15687,0.00036,-2.15601,-2.15733,2.41776,0.71356,9.22493,1.03285,0.36671,0.14074,0.97020,0.05971,4.89510,1.14435,9.07824,2.62086
70,499.7337474822998,1163264,207.53851,2990.88863,70.63546,456.33902,25.20893,18.18571,1000.00000,0.05755,0.19345,0.58316,-0.46989,3.09990,0.30733,4.15796,2.33480,21.86561,6.05989,42.89338,8.58981,-25.92256,6.81908,-11.46766,-47.48074,6.97768,2.02362,16.48901,3.14716,129.67855,69.45920,397.11041,30.29016,0.01757,0.01064,0.05407,-0.00563,4.07782,0.05493,4.30419,3.91566,1.74578,0.05413,1.90982,1.57996,6.93612,0.06459,7.08388,6.73567,-5.05339,1.53892,-2.11383,-11.49983,-2.10300,0.00082,-2.10143,-2.10421,0.03995,0.00014,0.04018,0.03960,-2.06682,0.00232,-2.06349,-2.07093,-2.15406,0.00109,-2.15212,-2.15614,2.63802,0.95027,9.26064,1.03412,0.32579,0.15445,0.95236,0.02041,4.53113,1.02860,8.32920,2.27839
80,476.74606108665466,1327104,232.73367,5663.74046,107.48682,435.39958,24.38857,16.94616,1000.00000,-0.07836,0.27024,0.49243,-1.07240,4.65445,1.23960,8.20243,2.81170,26.50586,7.30054,47.29868,11.78184,-36.39295,7.88170,-14.37330,-57.19564,14.87410,7.54597,51.97813,5.66360,288.38653,284.38938,2706.90308,54.15189,0.01837,0.01064,0.05399,-0.00682,4.05939,0.05147,4.20083,3.89929,1.74756,0.05582,1.91045,1.58570,6.90986,0.06302,7.06112,6.72140,-5.08963,1.61133,-2.23217,-12.99292,-2.09955,0.00065,-2.09864,-2.10141,0.03970,0.00031,0.04035,0.03916,-2.06231,0.00124,-2.05973,-2.06386,-2.15089,0.00076,-2.14995,-2.15258,2.80049,1.10482,13.11944,1.03789,0.31760,0.15185,0.96443,0.01127,4.67489,1.06043,9.19614,2.45861
90,480.40518498420715,1490944,235.32029,5857.84580,124.54290,439.17073,24.36934,16.86502,1000.00000,0.15612,0.29693,0.94412,-0.55895,4.40183,0.47439,6.08154,3.32460,28.91466,5.91256,44.34575,14.14166,-33.12764,8.21329,-13.68502,-54.34172,15.09661,4.23814,33.31626,6.74158,264.92696,151.07229,1189.32947,67.61716,0.01815,0.01076,0.05276,-0.00579,4.04127,0.05859,4.20431,3.87331,1.75020,0.05581,1.96483,1.61549,6.89920,0.06152,7.04326,6.70655,-4.95284,1.64425,-2.36488,-11.40619,-2.09669,0.00105,-2.09508,-2.09876,0.03967,0.00009,0.03992,0.03947,-2.05588,0.00162,-2.05404,-2.05976,-2.14936,0.00055,-2.14822,-2.15027,2.62777,0.85134,8.46835,1.05171,0.33315,0.14818,0.95420,0.02910,4.78265,0.99711,8.60360,2.44057
100,478.14655351638794,1654784,313.18774,5900.96287,182.93136,437.24630,24.34248,16.55077,1000.00000,-0.07279,0.73850,1.03022,-2.44659,5.48982,1.51469,9.87873,3.65724,27.56269,6.67344,46.85694,13.23024,-35.98500,8.03953,-16.24366,-59.06894,19.92758,9.19066,89.71543,9.43744,312.54993,225.83181,1785.37537,72.26820,0.01815,0.01140,0.07358,-0.00870,4.02408,0.05818,4.21933,3.84009,1.74869,0.05297,1.94049,1.60819,6.87408,0.06535,7.01768,6.68567,-5.14599,1.65007,-1.50399,-10.76390,-2.09270,0.00153,-2.09041,-2.09506,0.04056,0.00035,0.04116,0.03985,-2.05183,0.00189,-2.04852,-2.05446,-2.14827,0.00172,-2.14466,-2.15024,2.80807,1.40343,20.68233,1.03084,0.30891,0.15999,0.97206,0.00155,4.92210,1.02281,11.24928,2.80632
110,480.1266438961029,1818624,328.51556,7628.88522,190.81250,439.00348,24.27752,16.84004,1000.00000,-0.40988,0.74194,0.72071,-2.12013,6.15453,1.28578,9.19744,3.93673,28.56182,6.40945,50.02973,16.67748,-42.28078,8.31235,-17.86967,-60.80997,26.35273,10.74111,73.02329,9.77172,361.80129,331.25089,4455.76855,74.49721,0.01816,0.01149,0.07244,-0.00614,3.98811,0.05545,4.13783,3.79565,1.74911,0.05415,1.93459,1.61423,6.85373,0.06169,6.99480,6.68527,-5.15073,1.72789,-2.48710,-12.54562,-2.08823,0.00132,-2.08609,-2.09040,0.04092,0.00029,0.04162,0.04047,-2.04625,0.00145,-2.04378,-2.04870,-2.14266,0.00146,-2.14038,-2.14463,2.84490,1.21382,14.78741,1.05179,0.29504,0.15703,0.94988,0.01743,5.05483,1.07082,9.80173,3.12433
